ordem,capitulo,secao,n_issue,n_pr,traducao,revisao_1,revisao_2,revisao_3
1,index.qmd,Intro,1,39,beatrizmilz,brunomioto,jtrecenti,clente
2,preface-2e.qmd,Intro,2,40,beatrizmilz,brunomioto,nextmarte
3,intro.qmd,Intro,4,44,beatrizmilz,halian-vilela,albersonmiranda,
4,whole-game.qmd,Whole game,5,45,beatrizmilz,scopinho,
5,data-visualize.qmd,Whole game,3,43,brunomioto,nextmarte,beatrizmilz
6,workflow-basics.qmd,Whole game,6,41,nextmarte,beatrizmilz,scopinho
7,data-transform.qmd,Whole game,7,97,halian-vilela,Luaaalex,???
8,workflow-style.qmd,Whole game,8,42,nextmarte,beatrizmilz,decarvaa
9,data-tidy.qmd,Whole game,9,46,halian-vilela,scopinho,beatrizmilz
10,workflow-scripts.qmd,Whole game,10,86,nextmarte,beatrizmilz,brunomioto
11,data-import.qmd,Whole game,11,99,albersonmiranda,???,???
12,workflow-help.qmd,Whole game,12,93,MaximilianCF,beatrizmilz,brunomioto
13,visualize.qmd,Visualize,13,53,brunomioto,beatrizmilz,scopinho
14,layers.qmd,Visualize,14,77,fernandaperes,Luaaalex,cesar-galvao
15,EDA.qmd,Visualize,15,85,francojra,cmusso86,???
16,communication.qmd,Visualize,16,80,scopinho,cmusso86,???
17,transform.qmd,Transform,17,56,arianacabral,beatrizmilz,scopinho,
18,logicals.qmd,Transform,18,64,scopinho,magnotairone,beatrizmilz
19,numbers.qmd,Transform,19,65,scopinho,carlossb1,beatrizmilz
20,strings.qmd,Transform,20,79,arianacabral,magnotairone,???
21,regexps.qmd,Transform,21,66,scopinho,magnotairone,???
22,factors.qmd,Transform,22,67,scopinho,cesar-galvao,arianacabral
23,datetimes.qmd,Transform,23,68,scopinho,magnotairone,???
24,missing-values.qmd,Transform,24,scopinho,magnotairone,brunomioto
25,joins.qmd,Transform,25,70,scopinho,MaximilianCF,???
26,import.qmd,Import,26,54,scopinho,beatrizmilz,Luaaalex
27,spreadsheets.qmd,Import,27,58,scopinho,carlossb1,decarvaa
28,databases.qmd,Import,28,59,scopinho,Luaaalex,beatrizmilz
29,arrow.qmd,Import,29,60,scopinho,decarvaa,beatrizmilz
30,rectangling.qmd,Import,30,61,scopinho,cmusso86,???
31,webscraping.qmd,Import,31,62,scopinho,carlossb1,cesar-galvao
32,program.qmd,Program,32,55,ligialouzada,beatrizmilz,scopinho
33,functions.qmd,Program,33,72,scopinho,carlossb1,cesar-galvao
34,iteration.qmd,Program,34,75,scopinho,cmusso86,???
35,base-R.qmd,Program,35,71,scopinho,magnotairone,cesar-galvao
36,communicate.qmd,Communicate,36,52,ligialouzada,beatrizmilz,brunomioto
37,quarto.qmd,Communicate,37,81,cesar-galvao,beatrizmilz,cmusso86
38,quarto-formats.qmd,Communicate,38,83,cesar-galvao,beatrizmilz,brunomioto